FlightID,AirlineID,AircraftID,DepartureLocationID,ArrivalLocationID,DepartureTime,ArrivalTime,FlightDuration,PassengerCount
75,5,2,3,5,2024-04-28 19:07:15.074994,2024-04-29 04:07:15.074994,9,235
76,5,4,3,3,2024-10-25 19:07:15.075001,2024-10-25 23:07:15.075001,4,210
77,3,4,5,7,2024-05-29 19:07:15.075007,2024-05-30 07:07:15.075007,12,88
78,4,4,3,8,2025-03-24 19:07:15.075014,2025-03-25 01:07:15.075014,6,175
79,2,2,7,5,2025-03-13 19:07:15.075024,2025-03-13 23:07:15.075024,4,145
80,4,2,5,1,2024-07-11 19:07:15.075035,2024-07-12 01:07:15.075035,6,268
81,1,1,4,2,2024-08-26 19:07:15.075046,2024-08-26 20:07:15.075046,1,220
82,6,3,1,2,2025-01-09 19:07:15.075058,2025-01-09 23:07:15.075058,4,182
83,6,2,1,3,2024-08-24 19:07:15.075075,2024-08-25 06:07:15.075075,11,267
84,5,4,8,1,2024-08-12 19:07:15.075081,2024-08-13 06:07:15.075081,11,160
85,4,1,4,6,2024-06-21 19:07:15.075087,2024-06-22 07:07:15.075087,12,217
86,4,4,3,8,2024-06-26 19:07:15.075094,2024-06-27 02:07:15.075094,7,152
87,1,3,8,1,2025-02-13 19:07:15.075100,2025-02-14 02:07:15.075100,7,242
88,1,2,3,1,2024-10-09 19:07:15.075110,2024-10-10 07:07:15.075110,12,253
89,4,3,8,6,2025-02-26 19:07:15.075121,2025-02-27 06:07:15.075121,11,271
90,3,2,7,1,2024-11-02 19:07:15.075132,2024-11-03 00:07:15.075132,5,104
91,2,3,5,5,2024-12-02 19:07:15.075142,2024-12-02 23:07:15.075142,4,147
92,6,4,4,4,2024-11-18 19:07:15.075148,2024-11-18 20:07:15.075148,1,217
93,6,2,2,2,2024-12-28 19:07:15.075154,2024-12-29 06:07:15.075154,11,104
94,1,3,4,6,2024-06-17 19:07:15.075161,2024-06-17 22:07:15.075161,3,86
95,2,2,5,7,2025-03-14 19:07:15.075167,2025-03-15 03:07:15.075167,8,246
96,1,4,1,7,2024-09-09 19:07:15.075174,2024-09-10 07:07:15.075174,12,257
97,4,2,2,3,2025-02-28 19:07:15.075180,2025-03-01 07:07:15.075180,12,290
98,4,4,3,5,2025-04-16 19:07:15.075186,2025-04-17 03:07:15.075186,8,287
99,6,2,1,2,2024-06-11 19:07:15.075193,2024-06-12 00:07:15.075193,5,186
100,2,1,6,3,2025-03-18 19:07:15.075200,2025-03-19 00:07:15.075200,5,226
101,3,1,6,5,2024-07-05 19:07:15.075206,2024-07-06 07:07:15.075206,12,103
102,1,4,3,4,2024-11-26 19:07:15.075213,2024-11-26 22:07:15.075213,3,246
103,2,1,3,8,2024-08-03 19:07:15.075219,2024-08-04 06:07:15.075219,11,213
104,4,2,8,5,2025-04-06 19:07:15.075225,2025-04-06 20:07:15.075225,1,58
105,4,3,8,2,2024-07-06 19:07:15.075231,2024-07-06 23:07:15.075231,4,244
106,2,1,1,1,2024-09-25 19:07:15.075238,2024-09-26 01:07:15.075238,6,201
107,4,2,5,1,2025-01-11 19:07:15.075244,2025-01-11 22:07:15.075244,3,169
108,6,1,3,2,2025-03-17 19:07:15.075250,2025-03-18 01:07:15.075250,6,140
109,1,4,7,1,2024-06-09 19:07:15.075256,2024-06-10 06:07:15.075256,11,101
110,4,3,7,1,2025-01-31 19:07:15.075263,2025-01-31 22:07:15.075263,3,116
111,3,4,2,5,2025-03-29 19:07:15.075269,2025-03-30 01:07:15.075269,6,117
112,4,3,6,6,2024-05-17 19:07:15.075276,2024-05-18 06:07:15.075276,11,93
113,5,2,2,5,2024-10-04 19:07:15.075282,2024-10-05 03:07:15.075282,8,259
114,3,2,3,3,2024-07-29 19:07:15.075288,2024-07-30 07:07:15.075288,12,158
115,3,3,3,7,2025-01-22 19:07:15.075295,2025-01-22 22:07:15.075295,3,270
116,5,1,3,2,2024-09-20 19:07:15.075302,2024-09-21 05:07:15.075302,10,60
117,6,1,5,1,2025-01-13 19:07:15.075308,2025-01-13 20:07:15.075308,1,189
118,2,1,4,3,2024-09-28 19:07:15.075314,2024-09-28 22:07:15.075314,3,203
119,1,1,8,8,2025-01-23 19:07:15.075320,2025-01-24 02:07:15.075320,7,157
120,6,4,8,6,2024-12-08 19:07:15.075326,2024-12-09 04:07:15.075326,9,208
121,2,2,4,6,2024-10-12 19:07:15.075332,2024-10-13 05:07:15.075332,10,273
122,5,3,6,2,2024-10-28 19:07:15.075351,2024-10-29 04:07:15.075351,9,133
123,2,3,5,4,2024-06-23 19:07:15.075358,2024-06-24 00:07:15.075358,5,147
124,4,2,2,1,2024-11-29 19:07:15.075364,2024-11-29 20:07:15.075364,1,297
125,3,3,6,3,2024-10-10 19:07:15.075371,2024-10-11 07:07:15.075371,12,74
126,3,3,7,5,2024-10-05 19:07:15.075377,2024-10-06 04:07:15.075377,9,121
127,1,1,7,8,2025-04-04 19:07:15.075386,2025-04-05 07:07:15.075386,12,181
128,3,2,1,5,2025-03-05 19:07:15.075397,2025-03-05 23:07:15.075397,4,78
129,4,4,5,3,2025-03-04 19:07:15.075407,2025-03-05 05:07:15.075407,10,135
130,4,4,4,6,2025-03-21 19:07:15.075419,2025-03-22 04:07:15.075419,9,296
131,4,3,1,1,2025-04-12 19:07:15.075429,2025-04-12 21:07:15.075429,2,188
132,1,3,3,3,2024-07-24 19:07:15.075435,2024-07-25 00:07:15.075435,5,205
133,6,2,3,3,2024-07-25 19:07:15.075443,2024-07-25 22:07:15.075443,3,199
134,4,3,2,7,2025-02-03 19:07:15.075451,2025-02-03 22:07:15.075451,3,107
135,4,4,2,2,2024-06-27 19:07:15.075457,2024-06-28 04:07:15.075457,9,221
136,3,4,4,5,2025-03-13 19:07:15.075464,2025-03-14 04:07:15.075464,9,160
137,2,2,6,1,2025-01-07 19:07:15.075470,2025-01-08 03:07:15.075470,8,293
138,1,4,1,5,2024-07-02 19:07:15.075476,2024-07-02 23:07:15.075476,4,172
139,5,3,7,6,2024-06-09 19:07:15.075483,2024-06-10 06:07:15.075483,11,53
140,2,3,7,1,2025-04-16 19:07:15.075489,2025-04-17 00:07:15.075489,5,151
141,3,1,8,8,2025-01-31 19:07:15.075495,2025-02-01 00:07:15.075495,5,175
142,2,3,3,1,2024-08-05 19:07:15.075502,2024-08-05 21:07:15.075502,2,262
143,4,2,3,5,2025-03-28 19:07:15.075508,2025-03-29 07:07:15.075508,12,203
144,4,1,2,2,2024-10-16 19:07:15.075514,2024-10-16 20:07:15.075514,1,277
145,4,3,5,1,2024-11-30 19:07:15.075521,2024-11-30 20:07:15.075521,1,57
146,3,3,1,1,2024-11-30 19:07:15.075527,2024-12-01 06:07:15.075527,11,114
147,1,1,5,4,2025-02-26 19:07:15.075534,2025-02-27 01:07:15.075534,6,232
148,1,3,1,5,2024-07-20 19:07:15.075540,2024-07-20 22:07:15.075540,3,235
149,3,4,2,6,2024-06-06 19:07:15.075547,2024-06-07 03:07:15.075547,8,274
150,2,3,7,1,2025-03-28 19:07:15.075554,2025-03-29 05:07:15.075554,10,274
151,2,1,6,3,2024-10-17 19:07:15.075560,2024-10-18 07:07:15.075560,12,104
152,6,2,8,6,2024-04-21 19:07:15.075566,2024-04-22 00:07:15.075566,5,159
153,6,2,3,1,2024-07-16 19:07:15.075573,2024-07-17 00:07:15.075573,5,155
154,3,2,3,8,2024-05-08 19:07:15.075579,2024-05-09 06:07:15.075579,11,54
155,6,4,1,7,2025-04-17 19:07:15.075585,2025-04-17 23:07:15.075585,4,263
156,4,1,2,3,2025-04-05 19:07:15.075591,2025-04-06 03:07:15.075591,8,142
157,5,1,4,7,2024-06-13 19:07:15.075597,2024-06-13 22:07:15.075597,3,220
158,1,4,7,4,2024-08-15 19:07:15.075604,2024-08-15 20:07:15.075604,1,66
159,5,1,5,6,2025-01-30 19:07:15.075610,2025-01-30 20:07:15.075610,1,192
160,1,3,4,3,2024-10-15 19:07:15.075617,2024-10-15 20:07:15.075617,1,74
161,2,3,4,6,2024-08-24 19:07:15.075623,2024-08-25 05:07:15.075623,10,53
162,6,3,1,1,2025-03-02 19:07:15.075629,2025-03-03 01:07:15.075629,6,91
163,1,4,6,2,2024-04-19 19:07:15.075635,2024-04-20 04:07:15.075635,9,66
164,3,4,2,1,2025-04-16 19:07:15.075642,2025-04-16 20:07:15.075642,1,195
165,6,4,6,5,2024-10-18 19:07:15.075648,2024-10-19 05:07:15.075648,10,257
166,3,2,4,6,2024-09-09 19:07:15.075654,2024-09-09 21:07:15.075654,2,94
167,3,3,1,3,2024-07-29 19:07:15.075661,2024-07-30 00:07:15.075661,5,71
168,6,4,4,8,2024-08-17 19:07:15.075667,2024-08-18 03:07:15.075667,8,153
169,5,4,2,7,2024-07-28 19:07:15.075673,2024-07-28 22:07:15.075673,3,85
170,4,4,3,5,2024-06-27 19:07:15.075680,2024-06-28 03:07:15.075680,8,110
171,1,2,5,6,2024-10-26 19:07:15.075686,2024-10-26 20:07:15.075686,1,234
172,2,1,5,5,2024-08-12 19:07:15.075692,2024-08-13 00:07:15.075692,5,152
173,1,4,6,4,2024-12-06 19:07:15.075700,2024-12-07 03:07:15.075700,8,194
174,1,3,8,8,2024-07-26 19:07:15.075707,2024-07-27 06:07:15.075707,11,94
175,2,2,2,6,2024-12-29 19:07:15.075713,2024-12-30 03:07:15.075713,8,164
176,5,2,7,8,2024-10-18 19:07:15.075719,2024-10-19 07:07:15.075719,12,157
177,5,3,8,5,2025-04-16 19:07:15.075725,2025-04-17 03:07:15.075725,8,190
178,1,1,3,2,2024-12-16 19:07:15.075731,2024-12-16 21:07:15.075731,2,195
179,1,3,1,8,2024-10-08 19:07:15.075738,2024-10-08 21:07:15.075738,2,186
180,2,3,5,2,2024-09-30 19:07:15.075744,2024-09-30 22:07:15.075744,3,224
181,3,2,1,1,2024-12-20 19:07:15.075759,2024-12-20 20:07:15.075759,1,83
182,2,4,3,7,2025-02-09 19:07:15.075766,2025-02-10 07:07:15.075766,12,192
183,4,1,3,5,2024-07-06 19:07:15.075773,2024-07-06 22:07:15.075773,3,72
184,2,2,5,1,2024-11-26 19:07:15.075779,2024-11-26 21:07:15.075779,2,113
185,6,3,3,5,2024-12-13 19:07:15.075785,2024-12-14 07:07:15.075785,12,229
186,2,1,7,3,2024-06-08 19:07:15.075791,2024-06-09 04:07:15.075791,9,178
187,5,4,5,5,2024-11-16 19:07:15.075798,2024-11-17 07:07:15.075798,12,51
188,2,1,2,6,2024-10-20 19:07:15.075804,2024-10-21 00:07:15.075804,5,72
189,6,2,2,6,2025-04-17 19:07:15.075810,2025-04-18 00:07:15.075810,5,281
190,1,1,1,3,2025-01-01 19:07:15.075817,2025-01-02 03:07:15.075817,8,69
191,6,3,6,1,2024-10-03 19:07:15.075824,2024-10-03 23:07:15.075824,4,138
192,5,2,5,2,2024-06-27 19:07:15.075830,2024-06-27 23:07:15.075830,4,296
193,6,2,4,7,2025-04-05 19:07:15.075837,2025-04-05 23:07:15.075837,4,225
194,2,2,5,8,2024-12-15 19:07:15.075843,2024-12-15 23:07:15.075843,4,143
195,5,1,7,1,2024-04-28 19:07:15.075850,2024-04-29 00:07:15.075850,5,96
196,2,4,5,7,2024-07-02 19:07:15.075856,2024-07-03 00:07:15.075856,5,231
197,5,3,1,8,2024-04-27 19:07:15.075862,2024-04-27 23:07:15.075862,4,83
198,1,2,6,3,2024-04-19 19:07:15.075869,2024-04-20 02:07:15.075869,7,57
199,1,4,4,4,2024-06-19 19:07:15.075876,2024-06-20 02:07:15.075876,7,176
200,6,4,2,6,2024-10-19 19:07:15.075883,2024-10-19 20:07:15.075883,1,139
201,1,1,7,1,2024-10-12 19:07:15.075889,2024-10-13 02:07:15.075889,7,66
202,4,2,4,8,2025-02-21 19:07:15.075896,2025-02-22 06:07:15.075896,11,293
203,2,4,2,6,2025-01-09 19:07:15.075902,2025-01-09 20:07:15.075902,1,85
204,6,1,4,3,2025-03-25 19:07:15.075916,2025-03-25 22:07:15.075916,3,157
205,1,4,7,3,2024-07-10 19:07:15.075923,2024-07-11 01:07:15.075923,6,178
206,2,2,5,6,2024-11-28 19:07:15.075929,2024-11-29 04:07:15.075929,9,244
207,1,3,7,2,2024-06-07 19:07:15.075936,2024-06-08 00:07:15.075936,5,197
208,6,3,5,4,2024-09-27 19:07:15.075942,2024-09-28 02:07:15.075942,7,205
209,2,4,4,4,2024-06-28 19:07:15.075948,2024-06-28 22:07:15.075948,3,263
210,4,3,6,2,2024-08-07 19:07:15.075955,2024-08-07 23:07:15.075955,4,147
211,4,1,3,3,2024-09-02 19:07:15.075961,2024-09-02 20:07:15.075961,1,109
212,6,3,3,3,2024-06-24 19:07:15.075967,2024-06-25 04:07:15.075967,9,137
213,3,2,5,1,2025-03-01 19:07:15.075974,2025-03-02 03:07:15.075974,8,78
214,5,3,6,2,2024-10-20 19:07:15.075980,2024-10-21 07:07:15.075980,12,202
215,1,2,4,2,2025-03-30 19:07:15.075987,2025-03-31 03:07:15.075987,8,265
216,3,4,7,1,2024-07-25 19:07:15.075993,2024-07-25 21:07:15.075993,2,200
217,2,1,3,2,2024-12-03 19:07:15.075999,2024-12-04 06:07:15.075999,11,129
218,2,3,4,6,2024-06-03 19:07:15.076006,2024-06-03 20:07:15.076006,1,234
219,4,3,7,5,2024-05-12 19:07:15.076012,2024-05-13 01:07:15.076012,6,116
220,3,1,1,2,2024-10-01 19:07:15.076019,2024-10-01 20:07:15.076019,1,290
221,1,1,1,2,2024-04-26 19:07:15.076025,2024-04-27 06:07:15.076025,11,206
222,2,4,8,2,2025-04-18 19:07:15.076032,2025-04-19 05:07:15.076032,10,61
223,5,1,7,5,2025-02-03 19:07:15.076038,2025-02-04 06:07:15.076038,11,86
224,2,2,1,4,2024-08-19 19:07:15.076045,2024-08-19 20:07:15.076045,1,176
225,5,1,8,7,2024-05-15 19:07:15.076051,2024-05-16 04:07:15.076051,9,251
226,6,1,3,2,2025-03-20 19:07:15.076060,2025-03-21 01:07:15.076060,6,133
227,5,2,1,2,2024-11-05 19:07:15.076071,2024-11-05 21:07:15.076071,2,225
228,2,4,5,6,2024-07-11 19:07:15.076083,2024-07-11 23:07:15.076083,4,89
229,2,3,1,6,2024-09-30 19:07:15.076103,2024-10-01 07:07:15.076103,12,53
230,1,3,3,1,2024-11-28 19:07:15.076114,2024-11-29 02:07:15.076114,7,117
231,6,4,5,3,2024-12-27 19:07:15.076126,2024-12-28 06:07:15.076126,11,217
232,4,2,2,6,2024-12-02 19:07:15.076137,2024-12-03 02:07:15.076137,7,51
233,2,1,2,8,2024-10-10 19:07:15.076149,2024-10-10 22:07:15.076149,3,269
234,4,2,5,5,2025-02-02 19:07:15.076155,2025-02-02 20:07:15.076155,1,262
235,6,2,5,1,2025-01-13 19:07:15.076161,2025-01-14 04:07:15.076161,9,140
236,6,1,8,4,2024-05-10 19:07:15.076168,2024-05-11 00:07:15.076168,5,82
237,2,2,3,3,2024-12-31 19:07:15.076174,2024-12-31 22:07:15.076174,3,169
238,3,1,4,4,2024-07-09 19:07:15.076182,2024-07-10 01:07:15.076182,6,51
239,4,3,2,4,2024-06-09 19:07:15.076193,2024-06-10 07:07:15.076193,12,279
240,3,2,2,2,2024-08-08 19:07:15.076204,2024-08-08 22:07:15.076204,3,192
241,2,3,4,8,2024-07-22 19:07:15.076218,2024-07-23 05:07:15.076218,10,294
242,6,1,4,7,2025-01-07 19:07:15.076226,2025-01-08 05:07:15.076226,10,135
243,1,4,6,3,2025-02-24 19:07:15.076232,2025-02-24 21:07:15.076232,2,212
244,5,1,7,7,2024-12-08 19:07:15.076238,2024-12-08 20:07:15.076238,1,109
245,3,2,3,2,2024-09-08 19:07:15.076245,2024-09-08 21:07:15.076245,2,250
246,2,1,3,8,2024-05-03 19:07:15.076251,2024-05-03 21:07:15.076251,2,260
247,6,1,7,4,2024-11-24 19:07:15.076258,2024-11-25 04:07:15.076258,9,57
248,4,3,4,8,2024-07-26 19:07:15.076264,2024-07-27 07:07:15.076264,12,155
249,4,2,1,6,2024-12-14 19:07:15.076271,2024-12-14 22:07:15.076271,3,77
250,3,1,3,5,2024-12-23 19:07:15.076278,2024-12-23 23:07:15.076278,4,207
251,5,1,4,8,2024-06-05 19:07:15.076284,2024-06-06 02:07:15.076284,7,84
252,5,4,7,5,2024-06-10 19:07:15.076290,2024-06-10 21:07:15.076290,2,94
253,5,1,6,4,2024-07-09 19:07:15.076297,2024-07-10 06:07:15.076297,11,134
254,3,3,4,7,2024-05-07 19:07:15.076303,2024-05-07 21:07:15.076303,2,231
255,6,1,4,2,2024-07-01 19:07:15.076310,2024-07-02 00:07:15.076310,5,120
256,5,1,3,5,2024-07-20 19:07:15.076317,2024-07-21 03:07:15.076317,8,104
257,6,4,1,8,2024-05-27 19:07:15.076323,2024-05-28 02:07:15.076323,7,82
258,5,2,2,6,2024-11-08 19:07:15.076329,2024-11-09 01:07:15.076329,6,227
259,6,4,1,1,2024-12-24 19:07:15.076336,2024-12-25 04:07:15.076336,9,296
260,3,4,3,7,2024-11-21 19:07:15.076342,2024-11-22 03:07:15.076342,8,124
261,5,1,4,2,2024-09-15 19:07:15.076348,2024-09-16 04:07:15.076348,9,281
262,1,3,3,8,2024-09-03 19:07:15.076355,2024-09-04 03:07:15.076355,8,225
263,3,1,1,1,2024-11-06 19:07:15.076362,2024-11-07 07:07:15.076362,12,51
264,5,4,5,5,2025-03-11 19:07:15.076368,2025-03-12 02:07:15.076368,7,289
265,1,3,6,6,2025-04-02 19:07:15.076375,2025-04-03 02:07:15.076375,7,252
266,5,3,4,1,2024-12-16 19:07:15.076477,2024-12-17 04:07:15.076477,9,113
267,2,4,8,1,2024-10-19 19:07:15.076483,2024-10-20 01:07:15.076483,6,215
268,5,2,6,6,2024-12-07 19:07:15.076489,2024-12-08 07:07:15.076489,12,87
269,2,1,6,8,2024-07-07 19:07:15.076495,2024-07-08 05:07:15.076495,10,196
270,2,3,5,4,2024-09-22 19:07:15.076503,2024-09-22 20:07:15.076503,1,66
271,6,4,3,3,2025-03-10 19:07:15.076510,2025-03-11 00:07:15.076510,5,187
272,6,3,5,7,2024-12-22 19:07:15.076516,2024-12-23 06:07:15.076516,11,184
273,1,1,2,3,2025-02-13 19:07:15.076522,2025-02-13 21:07:15.076522,2,88
274,5,3,8,4,2024-05-24 19:07:15.076529,2024-05-25 00:07:15.076529,5,244
275,2,2,7,3,2024-05-19 19:07:15.076535,2024-05-20 01:07:15.076535,6,83
276,1,4,5,1,2024-08-19 19:07:15.076542,2024-08-20 04:07:15.076542,9,213
277,5,2,8,5,2025-03-14 19:07:15.076548,2025-03-15 03:07:15.076548,8,76
278,4,1,2,8,2024-06-14 19:07:15.076555,2024-06-15 01:07:15.076555,6,81
279,4,1,3,4,2024-12-30 19:07:15.076561,2024-12-31 05:07:15.076561,10,61
280,4,1,4,3,2024-11-01 19:07:15.076568,2024-11-02 06:07:15.076568,11,87
281,3,1,3,6,2024-08-24 19:07:15.076576,2024-08-25 03:07:15.076576,8,293
282,4,4,1,3,2024-05-01 19:07:15.076582,2024-05-02 04:07:15.076582,9,280
283,6,2,6,5,2024-05-19 19:07:15.076589,2024-05-20 03:07:15.076589,8,58
284,6,4,6,4,2024-12-20 19:07:15.076595,2024-12-21 02:07:15.076595,7,282
285,4,3,2,4,2024-12-05 19:07:15.076602,2024-12-05 21:07:15.076602,2,269
286,4,4,7,8,2024-05-15 19:07:15.076608,2024-05-16 03:07:15.076608,8,264
287,5,2,7,8,2024-04-25 19:07:15.076615,2024-04-25 22:07:15.076615,3,101
288,3,2,5,2,2024-05-24 19:07:15.076621,2024-05-25 01:07:15.076621,6,216
289,3,4,7,6,2024-11-30 19:07:15.076628,2024-12-01 07:07:15.076628,12,99
290,2,4,5,4,2024-12-21 19:07:15.076634,2024-12-22 00:07:15.076634,5,250
291,1,2,6,3,2024-09-23 19:07:15.076640,2024-09-24 06:07:15.076640,11,100
292,3,4,6,6,2024-07-23 19:07:15.076646,2024-07-24 04:07:15.076646,9,144
293,1,3,3,8,2024-12-20 19:07:15.076652,2024-12-21 07:07:15.076652,12,73
294,3,3,8,6,2025-04-06 19:07:15.076659,2025-04-07 04:07:15.076659,9,249
295,5,3,1,3,2024-08-25 19:07:15.076665,2024-08-26 01:07:15.076665,6,261
296,1,3,7,4,2024-07-02 19:07:15.076671,2024-07-02 21:07:15.076671,2,99
297,5,2,6,5,2024-06-06 19:07:15.076677,2024-06-07 03:07:15.076677,8,195
298,2,2,4,3,2024-07-26 19:07:15.076684,2024-07-26 23:07:15.076684,4,237
299,1,2,1,6,2024-08-14 19:07:15.076690,2024-08-15 03:07:15.076690,8,86
300,1,1,6,3,2024-08-30 19:07:15.076696,2024-08-31 00:07:15.076696,5,237
301,3,2,3,2,2025-01-22 19:07:15.076703,2025-01-22 23:07:15.076703,4,144
